task,model,AUROC,AUPRC
DEM vs CN,LR,0.7712713546748128,0.2244030780950197
DEM vs CN,SVM,0.7757761737594806,0.22484310239165356
DEM vs CN,RF,0.7583206624492618,0.1883111554141031
MCI vs CN,LR,0.7327254364956166,0.18108169125271528
MCI vs CN,SVM,0.7273328429995614,0.17401489022764816
MCI vs CN,RF,0.712388211907965,0.16471958895488512
DEM/MCI vs CN,LR,0.7607213219299492,0.3161398756833372
DEM/MCI vs CN,SVM,0.7610490478270249,0.3107998090517841
DEM/MCI vs CN,RF,0.7269668469713003,0.28079756330064554
