feature_name,feature_display_name
R_delta/alpha_max_O         ,"δ/α, max, O"
R_delta/alpha_min_F         ,"δ/α, min, F"
R_delta/alpha_min_C         ,"δ/α, min, C"
R_delta/alpha_min_O         ,"δ/α, min, O"
R_delta/alpha_mean_F        ,"δ/α, mean, F"
R_delta/alpha_mean_C        ,"δ/α, mean, C"
R_delta/alpha_mean_O        ,"δ/α, mean, O"
R_delta/alpha_std_F         ,"δ/α, std, F"
R_delta/alpha_std_C         ,"δ/α, std, C"
R_delta/alpha_std_O         ,"δ/α, std, O"
R_theta/alpha_max_F         ,"θ/α, max, F"
R_theta/alpha_max_C         ,"θ/α, max, C"
R_theta/alpha_max_O         ,"θ/α, max, O"
R_theta/alpha_min_F         ,"θ/α, min, F"
R_theta/alpha_min_C         ,"θ/α, min, C"
R_theta/alpha_min_O         ,"θ/α, min, O"
R_theta/alpha_mean_F        ,"θ/α, mean, F"
R_theta/alpha_mean_C        ,"θ/α, mean, C"
R_theta/alpha_mean_O        ,"θ/α, mean, O"
R_theta/alpha_std_F         ,"θ/α, std, F"
R_theta/alpha_std_C         ,"θ/α, std, C"
R_theta/alpha_std_O         ,"θ/α, std, O"
CHIRP_C3,"Spindles, Chirp, C3"
COUPL_ANGLE_C3,"Spindle/SO coupling angle, C3"
COUPL_MAG_C3,"Spindle/SO coupling magnitude, C3"
COUPL_OVERLAP_C3,"Spindle/SO overlap, C3"
COUPL_PV_C3,"COUPL, PV, C3"
DENS_C3,"Spindles, Density, C3"
DISPERSION_C3,"Spindles, Dispersion, C3"
DISPERSION_P_C3,"Spindles, Dispersion, P, C3"
DUR_C3,"Spindles, Duration, C3"
FFT_C3,"FFT, C3"
FRQ_C3,"Spindles, Frequency, C3"
FWHM_C3,"FWHM, C3"
ISA_M_C3,"ISA, M, C3"
ISA_S_C3,"ISA, S, C3"
ISA_T_C3,"ISA, T, C3"
MINS_C3,"MINS, C3"
N_C3,"Spindles, Number, C3"
N01_C3,"N01, C3"
N02_C3,"N02, C3"
NE_C3,"Spindles, Epoch number, C3"
NOSC_C3,"Spindles, Number of oscillations, C3"
Q_C3,"Spindles, Quality, C3"
SYMM_C3,"Spindles, Symmetry, C3"
SYMM2_C3,"SYMM2, C3"
SO_C3,"SO, C3"
SO_AMP_C3,"SO, Amplitude, C3"
SO_DUR_C3,"SO, Duration, C3"
SO_NEG_DUR_C3,"SO, Negative peak duration, C3"
SO_P2P_C3,"SO, P2P, C3"
SO_POS_DUR_C3,"SO, POS, Duration, C3"
SO_RATE_C3,"SO, RATE, C3"
SO_SLOPE_NEG1_C3,"SO, SLOPE, NEG1, C3"
SO_SLOPE_NEG2_C3,"SO, SLOPE, NEG2, C3"
SO_SLOPE_POS1_C3,"SO, SLOPE, POS1, C3"
SO_SLOPE_POS2_C3,"SO, SLOPE, POS2, C3"
SO_TH_NEG_C3,"SO, TH, NEG, C3"
SO_TH_P2P_C3,"SO, TH, P2P, C3"
AMP_C4,"Spindles, Amplitude, C4"
CHIRP_C4,"Spindles, Chirp, C4"
COUPL_ANGLE_C4,"Spindle/SO coupling angle, C4"
COUPL_MAG_C4,"Spindle/SO coupling magnitude, C4"
COUPL_OVERLAP_C4,"Spindle/SO overlap, C4"
COUPL_PV_C4,"COUPL, PV, C4"
DENS_C4,"Spindles, Density, C4"
DISPERSION_C4,"Spindles, Dispersion, C4"
DISPERSION_P_C4,"Spindles, Dispersion, P, C4"
DUR_C4,"Spindles, Duration, C4"
FFT_C4,"FFT, C4"
FRQ_C4,"Spindles, Frequency, C4"
FWHM_C4,"FWHM, C4"
ISA_M_C4,"ISA, M, C4"
ISA_S_C4,"ISA, S, C4"
ISA_T_C4,"ISA, T, C4"
MINS_C4,"MINS, C4"
N_C4,"Spindles, Number, C4"
N01_C4,"N01, C4"
N02_C4,"N02, C4"
NE_C4,"Spindles, Epoch number, C4"
NOSC_C4,"Spindles, Number of oscillations, C4"
Q_C4,"Spindles, Quality, C4"
SYMM_C4,"Spindles, Symmetry, C4"
SYMM2_C4,"SYMM2, C4"
SO_C4,"SO, C4"
SO_AMP_C4,"SO, Amplitude, C4"
SO_DUR_C4,"SO, Duration, C4"
SO_NEG_DUR_C4,"SO, Negative peak duration, C4"
SO_P2P_C4,"SO, P2P, C4"
SO_POS_DUR_C4,"SO, POS, Duration, C4"
SO_RATE_C4,"SO, RATE, C4"
SO_SLOPE_NEG1_C4,"SO, SLOPE, NEG1, C4"
SO_SLOPE_NEG2_C4,"SO, SLOPE, NEG2, C4"
SO_SLOPE_POS1_C4,"SO, SLOPE, POS1, C4"
SO_SLOPE_POS2_C4,"SO, SLOPE, POS2, C4"
SO_TH_NEG_C4,"SO, TH, NEG, C4"
SO_TH_P2P_C4,"SO, TH, P2P, C4"
AMP_F3,"Spindles, Amplitude, F3"
CHIRP_F3,"Spindles, Chirp, F3"
COUPL_ANGLE_F3,"Spindle/SO coupling angle, F3"
COUPL_MAG_F3,"Spindle/SO coupling magnitude, F3"
COUPL_OVERLAP_F3,"Spindle/SO overlap, F3"
COUPL_PV_F3,"COUPL, PV, F3"
DENS_F3,"Spindles, Density, F3"
DISPERSION_F3,"Spindles, Dispersion, F3"
DISPERSION_P_F3,"Spindles, Dispersion, P, F3"
DUR_F3,"Spindles, Duration, F3"
FFT_F3,"FFT, F3"
FRQ_F3,"Spindles, Frequency, F3"
FWHM_F3,"FWHM, F3"
ISA_M_F3,"ISA, M, F3"
ISA_S_F3,"ISA, S, F3"
ISA_T_F3,"ISA, T, F3"
MINS_F3,"MINS, F3"
N_F3,"Spindles, Number, F3"
N01_F3,"N01, F3"
N02_F3,"N02, F3"
NE_F3,"Spindles, Epoch number, F3"
NOSC_F3,"Spindles, Number of oscillations, F3"
Q_F3,"Spindles, Quality, F3"
SYMM_F3,"Spindles, Symmetry, F3"
SYMM2_F3,"SYMM2, F3"
SO_F3,"SO, F3"
SO_AMP_F3,"SO, Amplitude, F3"
SO_DUR_F3,"SO, Duration, F3"
SO_NEG_DUR_F3,"SO, Negative peak duration, F3"
SO_P2P_F3,"SO, P2P, F3"
SO_POS_DUR_F3,"SO, POS, Duration, F3"
SO_RATE_F3,"SO, RATE, F3"
SO_SLOPE_NEG1_F3,"SO, SLOPE, NEG1, F3"
SO_SLOPE_NEG2_F3,"SO, SLOPE, NEG2, F3"
SO_SLOPE_POS1_F3,"SO, SLOPE, POS1, F3"
SO_SLOPE_POS2_F3,"SO, SLOPE, POS2, F3"
SO_TH_NEG_F3,"SO, TH, NEG, F3"
SO_TH_P2P_F3,"SO, TH, P2P, F3"
AMP_F4,"Spindles, Amplitude, F4"
CHIRP_F4,"Spindles, Chirp, F4"
COUPL_ANGLE_F4,"Spindle/SO coupling angle, F4"
COUPL_MAG_F4,"Spindle/SO coupling magnitude, F4"
COUPL_OVERLAP_F4,"Spindle/SO overlap, F4"
COUPL_PV_F4,"COUPL, PV, F4"
DENS_F4,"Spindles, Density, F4"
DISPERSION_F4,"Spindles, Dispersion, F4"
DISPERSION_P_F4,"Spindles, Dispersion, P, F4"
DUR_F4,"Spindles, Duration, F4"
FFT_F4,"FFT, F4"
FRQ_F4,"Spindles, Frequency, F4"
FWHM_F4,"FWHM, F4"
ISA_M_F4,"ISA, M, F4"
ISA_S_F4,"ISA, S, F4"
ISA_T_F4,"ISA, T, F4"
MINS_F4,"MINS, F4"
N_F4,"Spindles, Number, F4"
N01_F4,"N01, F4"
N02_F4,"N02, F4"
NE_F4,"Spindles, Epoch number, F4"
NOSC_F4,"Spindles, Number of oscillations, F4"
Q_F4,"Spindles, Quality, F4"
SYMM_F4,"Spindles, Symmetry, F4"
SYMM2_F4,"SYMM2, F4"
SO_F4,"SO, F4"
SO_AMP_F4,"SO, Amplitude, F4"
SO_DUR_F4,"SO, Duration, F4"
SO_NEG_DUR_F4,"SO, Negative peak duration, F4"
SO_P2P_F4,"SO, P2P, F4"
SO_POS_DUR_F4,"SO, POS, Duration, F4"
SO_RATE_F4,"SO, RATE, F4"
SO_SLOPE_NEG1_F4,"SO, SLOPE, NEG1, F4"
SO_SLOPE_NEG2_F4,"SO, SLOPE, NEG2, F4"
SO_SLOPE_POS1_F4,"SO, SLOPE, POS1, F4"
SO_SLOPE_POS2_F4,"SO, SLOPE, POS2, F4"
SO_TH_NEG_F4,"SO, TH, NEG, F4"
SO_TH_P2P_F4,"SO, TH, P2P, F4"
AMP_O1,"Spindles, Amplitude, O1"
CHIRP_O1,"Spindles, Chirp, O1"
COUPL_ANGLE_O1,"Spindle/SO coupling angle, O1"
COUPL_MAG_O1,"Spindle/SO coupling magnitude, O1"
COUPL_OVERLAP_O1,"Spindle/SO overlap, O1"
COUPL_PV_O1,"COUPL, PV, O1"
DENS_O1,"Spindles, Density, O1"
DISPERSION_O1,"Spindles, Dispersion, O1"
DISPERSION_P_O1,"Spindles, Dispersion, P, O1"
DUR_O1,"Spindles, Duration, O1"
FFT_O1,"FFT, O1"
FRQ_O1,"Spindles, Frequency, O1"
FWHM_O1,"FWHM, O1"
ISA_M_O1,"ISA, M, O1"
ISA_S_O1,"ISA, S, O1"
ISA_T_O1,"ISA, T, O1"
MINS_O1,"MINS, O1"
N_O1,"Spindles, Number, O1"
N01_O1,"N01, O1"
N02_O1,"N02, O1"
NE_O1,"Spindles, Epoch number, O1"
NOSC_O1,"Spindles, Number of oscillations, O1"
Q_O1,"Spindles, Quality, O1"
SYMM_O1,"Spindles, Symmetry, O1"
SYMM2_O1,"SYMM2, O1"
SO_O1,"SO, O1"
SO_AMP_O1,"SO, Amplitude, O1"
SO_DUR_O1,"SO, Duration, O1"
SO_NEG_DUR_O1,"SO, Negative peak duration, O1"
SO_P2P_O1,"SO, P2P, O1"
SO_POS_DUR_O1,"SO, POS, Duration, O1"
SO_RATE_O1,"SO, RATE, O1"
SO_SLOPE_NEG1_O1,"SO, SLOPE, NEG1, O1"
SO_SLOPE_NEG2_O1,"SO, SLOPE, NEG2, O1"
SO_SLOPE_POS1_O1,"SO, SLOPE, POS1, O1"
SO_SLOPE_POS2_O1,"SO, SLOPE, POS2, O1"
SO_TH_NEG_O1,"SO, TH, NEG, O1"
SO_TH_P2P_O1,"SO, TH, P2P, O1"
AMP_O2,"Spindles, Amplitude, O2"
CHIRP_O2,"Spindles, Chirp, O2"
COUPL_ANGLE_O2,"Spindle/SO coupling angle, O2"
COUPL_MAG_O2,"Spindle/SO coupling magnitude, O2"
COUPL_OVERLAP_O2,"Spindle/SO overlap, O2"
COUPL_PV_O2,"COUPL, PV, O2"
DENS_O2,"Spindles, Density, O2"
DISPERSION_O2,"Spindles, Dispersion, O2"
DISPERSION_P_O2,"Spindles, Dispersion, P, O2"
DUR_O2,"Spindles, Duration, O2"
FFT_O2,"FFT, O2"
FRQ_O2,"Spindles, Frequency, O2"
FWHM_O2,"FWHM, O2"
ISA_M_O2,"ISA, M, O2"
ISA_S_O2,"ISA, S, O2"
ISA_T_O2,"ISA, T, O2"
MINS_O2,"MINS, O2"
N_O2,"Spindles, Number, O2"
N01_O2,"N01, O2"
N02_O2,"N02, O2"
NE_O2,"Spindles, Epoch number, O2"
NOSC_O2,"Spindles, Number of oscillations, O2"
Q_O2,"Spindles, Quality, O2"
SYMM_O2,"Spindles, Symmetry, O2"
SYMM2_O2,"SYMM2, O2"
SO_O2,"SO, O2"
SO_AMP_O2,"SO, Amplitude, O2"
SO_DUR_O2,"SO, Duration, O2"
SO_NEG_DUR_O2,"SO, Negative peak duration, O2"
SO_P2P_O2,"SO, P2P, O2"
SO_POS_DUR_O2,"SO, POS, Duration, O2"
SO_RATE_O2,"SO, RATE, O2"
SO_SLOPE_NEG1_O2,"SO, SLOPE, NEG1, O2"
SO_SLOPE_NEG2_O2,"SO, SLOPE, NEG2, O2"
SO_SLOPE_POS1_O2,"SO, SLOPE, POS1, O2"
SO_SLOPE_POS2_O2,"SO, SLOPE, POS2, O2"
SO_TH_NEG_O2,"SO, TH, NEG, O2"
SO_TH_P2P_O2,"SO, TH, P2P, O2"
Wake_alpha1_psd_F,"α1, psd, F"
Wake_alpha2_psd_F,"α2, psd, F"
Wake_alpha3_psd_F,"α3, psd, F"
Wake_alpha1_psd_C,"α1, psd, C"
Wake_alpha2_psd_C,"α2, psd, C"
Wake_alpha3_psd_C,"α3, psd, C"
Wake_alpha1_psd_O,"α1, psd, O"
Wake_alpha2_psd_O,"α2, psd, O"
Wake_alpha3_psd_O,"α3, psd, O"
Wake_TF_F,"TF, F"
Wake_IAF_F,"IAF, F"
Wake_TF_C,"TF, C"
Wake_IAF_C,"IAF, C"
Wake_TF_O,"TF, O"
Wake_IAF_O,"IAF, O"
N1_alpha1_psd_F,"α1, psd, F"
N1_alpha2_psd_F,"α2, psd, F"
N1_alpha3_psd_F,"α3, psd, F"
N1_alpha1_psd_C,"α1, psd, C"
N1_alpha2_psd_C,"α2, psd, C"
N1_alpha3_psd_C,"α3, psd, C"
N1_alpha1_psd_O,"α1, psd, O"
N1_alpha2_psd_O,"α2, psd, O"
N1_alpha3_psd_O,"α3, psd, O"
N1_TF_F,"TF, F"
N1_IAF_F,"IAF, F"
N1_TF_C,"TF, C"
N1_IAF_C,"IAF, C"
N1_TF_O,"TF, O"
N1_IAF_O,"IAF, O"
Wake_alpha3/2_power_F,"α3/2, power, F"
Wake_alpha3/2_power_C,"α3/2, power, C"
Wake_alpha3/2_power_O,"α3/2, power, O"
N1_alpha3/2_power_F,"α3/2, power, F"
N1_alpha3/2_power_C,"α3/2, power, C"
N1_alpha3/2_power_O,"α3/2, power, O"
Wake_alpha3/2_power,"α3/2, power"
N1_alpha3/2_power,"α3/2, power"
N3_F3-F4_Delta,"Coherence, F3-F4, δ"
N3_F3-F4_Theta,"Coherence, F3-F4, θ"
N3_F3-F4_Alpha,"Coherence, F3-F4, α"
N3_F3-F4_Sigma,"Coherence, F3-F4, σ"
N3_F3-C3_Delta,"Coherence, F3-C3, δ"
N3_F3-C3_Theta,"Coherence, F3-C3, θ"
N3_F3-C3_Alpha,"Coherence, F3-C3, α"
N3_F3-C3_Sigma,"Coherence, F3-C3, σ"
N3_F3-C4_Delta,"Coherence, F3-C4, δ"
N3_F3-C4_Theta,"Coherence, F3-C4, θ"
N3_F3-C4_Alpha,"Coherence, F3-C4, α"
N3_F3-C4_Sigma,"Coherence, F3-C4, σ"
N3_F3-O1_Delta,"Coherence, F3-O1, δ"
N3_F3-O1_Theta,"Coherence, F3-O1, θ"
N3_F3-O1_Alpha,"Coherence, F3-O1, α"
N3_F3-O1_Sigma,"Coherence, F3-O1, σ"
N3_F3-O2_Delta,"Coherence, F3-O2, δ"
N3_F3-O2_Theta,"Coherence, F3-O2, θ"
N3_F3-O2_Alpha,"Coherence, F3-O2, α"
N3_F3-O2_Sigma,"Coherence, F3-O2, σ"
N3_F4-C3_Delta,"Coherence, F4-C3, δ"
N3_F4-C3_Theta,"Coherence, F4-C3, θ"
N3_F4-C3_Alpha,"Coherence, F4-C3, α"
N3_F4-C3_Sigma,"Coherence, F4-C3, σ"
N3_F4-C4_Delta,"Coherence, F4-C4, δ"
N3_F4-C4_Theta,"Coherence, F4-C4, θ"
N3_F4-C4_Alpha,"Coherence, F4-C4, α"
N3_F4-C4_Sigma,"Coherence, F4-C4, σ"
N3_F4-O1_Delta,"Coherence, F4-O1, δ"
N3_F4-O1_Theta,"Coherence, F4-O1, θ"
N3_F4-O1_Alpha,"Coherence, F4-O1, α"
N3_F4-O1_Sigma,"Coherence, F4-O1, σ"
N3_F4-O2_Delta,"Coherence, F4-O2, δ"
N3_F4-O2_Theta,"Coherence, F4-O2, θ"
N3_F4-O2_Alpha,"Coherence, F4-O2, α"
N3_F4-O2_Sigma,"Coherence, F4-O2, σ"
N3_C3-C4_Delta,"Coherence, C3-C4, δ"
N3_C3-C4_Theta,"Coherence, C3-C4, θ"
N3_C3-C4_Alpha,"Coherence, C3-C4, α"
N3_C3-C4_Sigma,"Coherence, C3-C4, σ"
N3_C3-O1_Delta,"Coherence, C3-O1, δ"
N3_C3-O1_Theta,"Coherence, C3-O1, θ"
N3_C3-O1_Alpha,"Coherence, C3-O1, α"
N3_C3-O1_Sigma,"Coherence, C3-O1, σ"
N3_C3-O2_Delta,"Coherence, C3-O2, δ"
N3_C3-O2_Theta,"Coherence, C3-O2, θ"
N3_C3-O2_Alpha,"Coherence, C3-O2, α"
N3_C3-O2_Sigma,"Coherence, C3-O2, σ"
N3_C4-O1_Delta,"Coherence, C4-O1, δ"
N3_C4-O1_Theta,"Coherence, C4-O1, θ"
N3_C4-O1_Alpha,"Coherence, C4-O1, α"
N3_C4-O1_Sigma,"Coherence, C4-O1, σ"
N3_C4-O2_Delta,"Coherence, C4-O2, δ"
N3_C4-O2_Theta,"Coherence, C4-O2, θ"
N3_C4-O2_Alpha,"Coherence, C4-O2, α"
N3_C4-O2_Sigma,"Coherence, C4-O2, σ"
N3_O1-O2_Delta,"Coherence, O1-O2, δ"
N3_O1-O2_Theta,"Coherence, O1-O2, θ"
N3_O1-O2_Alpha,"Coherence, O1-O2, α"
N3_O1-O2_Sigma,"Coherence, O1-O2, σ"
N2_F3-F4_Delta,"Coherence, F3-F4, δ"
N2_F3-F4_Theta,"Coherence, F3-F4, θ"
N2_F3-F4_Alpha,"Coherence, F3-F4, α"
N2_F3-F4_Sigma,"Coherence, F3-F4, σ"
N2_F3-C3_Delta,"Coherence, F3-C3, δ"
N2_F3-C3_Theta,"Coherence, F3-C3, θ"
N2_F3-C3_Alpha,"Coherence, F3-C3, α"
N2_F3-C3_Sigma,"Coherence, F3-C3, σ"
N2_F3-C4_Delta,"Coherence, F3-C4, δ"
N2_F3-C4_Theta,"Coherence, F3-C4, θ"
N2_F3-C4_Alpha,"Coherence, F3-C4, α"
N2_F3-C4_Sigma,"Coherence, F3-C4, σ"
N2_F3-O1_Delta,"Coherence, F3-O1, δ"
N2_F3-O1_Theta,"Coherence, F3-O1, θ"
N2_F3-O1_Alpha,"Coherence, F3-O1, α"
N2_F3-O1_Sigma,"Coherence, F3-O1, σ"
N2_F3-O2_Delta,"Coherence, F3-O2, δ"
N2_F3-O2_Theta,"Coherence, F3-O2, θ"
N2_F3-O2_Alpha,"Coherence, F3-O2, α"
N2_F3-O2_Sigma,"Coherence, F3-O2, σ"
N2_F4-C3_Delta,"Coherence, F4-C3, δ"
N2_F4-C3_Theta,"Coherence, F4-C3, θ"
N2_F4-C3_Alpha,"Coherence, F4-C3, α"
N2_F4-C3_Sigma,"Coherence, F4-C3, σ"
N2_F4-C4_Delta,"Coherence, F4-C4, δ"
N2_F4-C4_Theta,"Coherence, F4-C4, θ"
N2_F4-C4_Alpha,"Coherence, F4-C4, α"
N2_F4-C4_Sigma,"Coherence, F4-C4, σ"
N2_F4-O1_Delta,"Coherence, F4-O1, δ"
N2_F4-O1_Theta,"Coherence, F4-O1, θ"
N2_F4-O1_Alpha,"Coherence, F4-O1, α"
N2_F4-O1_Sigma,"Coherence, F4-O1, σ"
N2_F4-O2_Delta,"Coherence, F4-O2, δ"
N2_F4-O2_Theta,"Coherence, F4-O2, θ"
N2_F4-O2_Alpha,"Coherence, F4-O2, α"
N2_F4-O2_Sigma,"Coherence, F4-O2, σ"
N2_C3-C4_Delta,"Coherence, C3-C4, δ"
N2_C3-C4_Theta,"Coherence, C3-C4, θ"
N2_C3-C4_Alpha,"Coherence, C3-C4, α"
N2_C3-C4_Sigma,"Coherence, C3-C4, σ"
N2_C3-O1_Delta,"Coherence, C3-O1, δ"
N2_C3-O1_Theta,"Coherence, C3-O1, θ"
N2_C3-O1_Alpha,"Coherence, C3-O1, α"
N2_C3-O1_Sigma,"Coherence, C3-O1, σ"
N2_C3-O2_Delta,"Coherence, C3-O2, δ"
N2_C3-O2_Theta,"Coherence, C3-O2, θ"
N2_C3-O2_Alpha,"Coherence, C3-O2, α"
N2_C3-O2_Sigma,"Coherence, C3-O2, σ"
N2_C4-O1_Delta,"Coherence, C4-O1, δ"
N2_C4-O1_Theta,"Coherence, C4-O1, θ"
N2_C4-O1_Alpha,"Coherence, C4-O1, α"
N2_C4-O1_Sigma,"Coherence, C4-O1, σ"
N2_C4-O2_Delta,"Coherence, C4-O2, δ"
N2_C4-O2_Theta,"Coherence, C4-O2, θ"
N2_C4-O2_Alpha,"Coherence, C4-O2, α"
N2_C4-O2_Sigma,"Coherence, C4-O2, σ"
N2_O1-O2_Delta,"Coherence, O1-O2, δ"
N2_O1-O2_Theta,"Coherence, O1-O2, θ"
N2_O1-O2_Alpha,"Coherence, O1-O2, α"
N2_O1-O2_Sigma,"Coherence, O1-O2, σ"
N1_F3-F4_Delta,"Coherence, F3-F4, δ"
N1_F3-F4_Theta,"Coherence, F3-F4, θ"
N1_F3-F4_Alpha,"Coherence, F3-F4, α"
N1_F3-F4_Sigma,"Coherence, F3-F4, σ"
N1_F3-C3_Delta,"Coherence, F3-C3, δ"
N1_F3-C3_Theta,"Coherence, F3-C3, θ"
N1_F3-C3_Alpha,"Coherence, F3-C3, α"
N1_F3-C3_Sigma,"Coherence, F3-C3, σ"
N1_F3-C4_Delta,"Coherence, F3-C4, δ"
N1_F3-C4_Theta,"Coherence, F3-C4, θ"
N1_F3-C4_Alpha,"Coherence, F3-C4, α"
N1_F3-C4_Sigma,"Coherence, F3-C4, σ"
N1_F3-O1_Delta,"Coherence, F3-O1, δ"
N1_F3-O1_Theta,"Coherence, F3-O1, θ"
N1_F3-O1_Alpha,"Coherence, F3-O1, α"
N1_F3-O1_Sigma,"Coherence, F3-O1, σ"
N1_F3-O2_Delta,"Coherence, F3-O2, δ"
N1_F3-O2_Theta,"Coherence, F3-O2, θ"
N1_F3-O2_Alpha,"Coherence, F3-O2, α"
N1_F3-O2_Sigma,"Coherence, F3-O2, σ"
N1_F4-C3_Delta,"Coherence, F4-C3, δ"
N1_F4-C3_Theta,"Coherence, F4-C3, θ"
N1_F4-C3_Alpha,"Coherence, F4-C3, α"
N1_F4-C3_Sigma,"Coherence, F4-C3, σ"
N1_F4-C4_Delta,"Coherence, F4-C4, δ"
N1_F4-C4_Theta,"Coherence, F4-C4, θ"
N1_F4-C4_Alpha,"Coherence, F4-C4, α"
N1_F4-C4_Sigma,"Coherence, F4-C4, σ"
N1_F4-O1_Delta,"Coherence, F4-O1, δ"
N1_F4-O1_Theta,"Coherence, F4-O1, θ"
N1_F4-O1_Alpha,"Coherence, F4-O1, α"
N1_F4-O1_Sigma,"Coherence, F4-O1, σ"
N1_F4-O2_Delta,"Coherence, F4-O2, δ"
N1_F4-O2_Theta,"Coherence, F4-O2, θ"
N1_F4-O2_Alpha,"Coherence, F4-O2, α"
N1_F4-O2_Sigma,"Coherence, F4-O2, σ"
N1_C3-C4_Delta,"Coherence, C3-C4, δ"
N1_C3-C4_Theta,"Coherence, C3-C4, θ"
N1_C3-C4_Alpha,"Coherence, C3-C4, α"
N1_C3-C4_Sigma,"Coherence, C3-C4, σ"
N1_C3-O1_Delta,"Coherence, C3-O1, δ"
N1_C3-O1_Theta,"Coherence, C3-O1, θ"
N1_C3-O1_Alpha,"Coherence, C3-O1, α"
N1_C3-O1_Sigma,"Coherence, C3-O1, σ"
N1_C3-O2_Delta,"Coherence, C3-O2, δ"
N1_C3-O2_Theta,"Coherence, C3-O2, θ"
N1_C3-O2_Alpha,"Coherence, C3-O2, α"
N1_C3-O2_Sigma,"Coherence, C3-O2, σ"
N1_C4-O1_Delta,"Coherence, C4-O1, δ"
N1_C4-O1_Theta,"Coherence, C4-O1, θ"
N1_C4-O1_Alpha,"Coherence, C4-O1, α"
N1_C4-O1_Sigma,"Coherence, C4-O1, σ"
N1_C4-O2_Delta,"Coherence, C4-O2, δ"
N1_C4-O2_Theta,"Coherence, C4-O2, θ"
N1_C4-O2_Alpha,"Coherence, C4-O2, α"
N1_C4-O2_Sigma,"Coherence, C4-O2, σ"
N1_O1-O2_Delta,"Coherence, O1-O2, δ"
N1_O1-O2_Theta,"Coherence, O1-O2, θ"
N1_O1-O2_Alpha,"Coherence, O1-O2, α"
N1_O1-O2_Sigma,"Coherence, O1-O2, σ"
REM_F3-F4_Delta,"Coherence, F3-F4, δ"
REM_F3-F4_Theta,"Coherence, F3-F4, θ"
REM_F3-F4_Alpha,"Coherence, F3-F4, α"
REM_F3-F4_Sigma,"Coherence, F3-F4, σ"
REM_F3-C3_Delta,"Coherence, F3-C3, δ"
REM_F3-C3_Theta,"Coherence, F3-C3, θ"
REM_F3-C3_Alpha,"Coherence, F3-C3, α"
REM_F3-C3_Sigma,"Coherence, F3-C3, σ"
REM_F3-C4_Delta,"Coherence, F3-C4, δ"
REM_F3-C4_Theta,"Coherence, F3-C4, θ"
REM_F3-C4_Alpha,"Coherence, F3-C4, α"
REM_F3-C4_Sigma,"Coherence, F3-C4, σ"
REM_F3-O1_Delta,"Coherence, F3-O1, δ"
REM_F3-O1_Theta,"Coherence, F3-O1, θ"
REM_F3-O1_Alpha,"Coherence, F3-O1, α"
REM_F3-O1_Sigma,"Coherence, F3-O1, σ"
REM_F3-O2_Delta,"Coherence, F3-O2, δ"
REM_F3-O2_Theta,"Coherence, F3-O2, θ"
REM_F3-O2_Alpha,"Coherence, F3-O2, α"
REM_F3-O2_Sigma,"Coherence, F3-O2, σ"
REM_F4-C3_Delta,"Coherence, F4-C3, δ"
REM_F4-C3_Theta,"Coherence, F4-C3, θ"
REM_F4-C3_Alpha,"Coherence, F4-C3, α"
REM_F4-C3_Sigma,"Coherence, F4-C3, σ"
REM_F4-C4_Delta,"Coherence, F4-C4, δ"
REM_F4-C4_Theta,"Coherence, F4-C4, θ"
REM_F4-C4_Alpha,"Coherence, F4-C4, α"
REM_F4-C4_Sigma,"Coherence, F4-C4, σ"
REM_F4-O1_Delta,"Coherence, F4-O1, δ"
REM_F4-O1_Theta,"Coherence, F4-O1, θ"
REM_F4-O1_Alpha,"Coherence, F4-O1, α"
REM_F4-O1_Sigma,"Coherence, F4-O1, σ"
REM_F4-O2_Delta,"Coherence, F4-O2, δ"
REM_F4-O2_Theta,"Coherence, F4-O2, θ"
REM_F4-O2_Alpha,"Coherence, F4-O2, α"
REM_F4-O2_Sigma,"Coherence, F4-O2, σ"
REM_C3-C4_Delta,"Coherence, C3-C4, δ"
REM_C3-C4_Theta,"Coherence, C3-C4, θ"
REM_C3-C4_Alpha,"Coherence, C3-C4, α"
REM_C3-C4_Sigma,"Coherence, C3-C4, σ"
REM_C3-O1_Delta,"Coherence, C3-O1, δ"
REM_C3-O1_Theta,"Coherence, C3-O1, θ"
REM_C3-O1_Alpha,"Coherence, C3-O1, α"
REM_C3-O1_Sigma,"Coherence, C3-O1, σ"
REM_C3-O2_Delta,"Coherence, C3-O2, δ"
REM_C3-O2_Theta,"Coherence, C3-O2, θ"
REM_C3-O2_Alpha,"Coherence, C3-O2, α"
REM_C3-O2_Sigma,"Coherence, C3-O2, σ"
REM_C4-O1_Delta,"Coherence, C4-O1, δ"
REM_C4-O1_Theta,"Coherence, C4-O1, θ"
REM_C4-O1_Alpha,"Coherence, C4-O1, α"
REM_C4-O1_Sigma,"Coherence, C4-O1, σ"
REM_C4-O2_Delta,"Coherence, C4-O2, δ"
REM_C4-O2_Theta,"Coherence, C4-O2, θ"
REM_C4-O2_Alpha,"Coherence, C4-O2, α"
REM_C4-O2_Sigma,"Coherence, C4-O2, σ"
REM_O1-O2_Delta,"Coherence, O1-O2, δ"
REM_O1-O2_Theta,"Coherence, O1-O2, θ"
REM_O1-O2_Alpha,"Coherence, O1-O2, α"
REM_O1-O2_Sigma,"Coherence, O1-O2, σ"
Wake_F3-F4_Delta,"Coherence, F3-F4, δ"
Wake_F3-F4_Theta,"Coherence, F3-F4, θ"
Wake_F3-F4_Alpha,"Coherence, F3-F4, α"
